,bike_name,price,kms_driven,age,brand,Owner_Type
5055,Bajaj Pulsar RS200,98000,28026,5,Bajaj,0
5056,Hero Hunk 150cc,12800,50000,13,Hero,0
5057,KTM RC 390cc,198000,5640,3,KTM,0
5058,Royal Enfield Classic,95000,20000,6,Royal Enfield,0
5059,Mahindra Centuro 110cc,25000,38247,8,Mahindra,0
5060,Royal Enfield Bullet,110000,24300,3,Royal Enfield,0
5061,Bajaj Pulsar 150cc,35000,45189,10,Bajaj,0
5062,Bajaj Pulsar 150cc,16000,99000,11,Bajaj,0
5063,Bajaj V15 150cc,66400,2600,4,Bajaj,0
5064,Hero Passion Xpro,26000,43625,8,Hero,0
5065,Yamaha FZs 150cc,43000,38000,7,Yamaha,0
5066,Bajaj Avenger 220cc,40000,19300,7,Bajaj,0
5067,Royal Enfield Thunderbird,85000,33783,7,Royal Enfield,0
5068,Bajaj V15 150cc,52000,4725,5,Bajaj,0
5069,Bajaj Dominar 400,125000,8930,4,Bajaj,0
5070,Yamaha YZF-R15 V3,121000,13013,3,Yamaha,0
5071,Hero Karizma R,35000,28000,6,Hero,2
5072,Royal Enfield Thunderbird,96000,16317,5,Royal Enfield,2
5073,Honda CBF Stunner,19000,69761,9,Honda,0
5074,Royal Enfield Classic,130800,24000,5,Royal Enfield,0
5075,Bajaj Pulsar NS200,60000,4200,9,Bajaj,0
5076,KTM Duke 200cc,67000,25000,8,KTM,2
5077,Honda CBR 250R,80000,25000,7,Honda,0
5078,Bajaj Pulsar 220cc,50300,14000,7,Bajaj,0
5079,Honda CBF Stunner,23400,15000,9,Honda,0
5080,KTM Duke 390cc,105000,18000,6,KTM,0
5081,Bajaj Discover 100cc,21100,21000,11,Bajaj,0
5083,Hero Splendor 100cc,27500,32659,10,Hero,0
5084,Hero CD Deluxe,25000,39000,9,Hero,0
5085,Yamaha YZF-R15 2.0,90000,17000,4,Yamaha,0
5086,Hero Splendor Plus,20300,46000,15,Hero,0
5087,Honda CB Shine,55800,4000,4,Honda,0
5088,Bajaj Dominar 400,125000,31243,4,Bajaj,0
5089,Royal Enfield Thunderbird,160000,5000,4,Royal Enfield,0
5091,Honda CB Shine,25000,25000,7,Honda,2
5092,TVS Star City,25000,16565,6,TVS,0
5093,Yamaha FZ V,51000,26219,6,Yamaha,0
5094,Hero Hunk 150cc,18200,45000,12,Hero,0
5095,Bajaj Discover 135cc,15000,36888,13,Bajaj,0
5096,Royal Enfield Classic,84000,19912,7,Royal Enfield,0
5097,Royal Enfield Classic,128000,5541,4,Royal Enfield,0
5098,Bajaj Pulsar 135LS,30000,30000,6,Bajaj,0
5099,Bajaj Pulsar AS150,60000,15927,6,Bajaj,2
5100,KTM RC 390cc,158000,3834,4,KTM,0
5101,Bajaj Pulsar NS200,43600,60000,8,Bajaj,0
5102,Bajaj Pulsar 150cc,15000,532,14,Bajaj,0
5103,Hero Splendor iSmart,57999,3000,4,Hero,0
5104,Yamaha YZF-R15 2.0,58000,28000,7,Yamaha,0
5105,Honda CB Shine,32000,31000,10,Honda,0
5106,Honda CB Shine,65000,2500,3,Honda,0
5107,KTM Duke 390cc,133000,26000,5,KTM,0
5108,Bajaj Pulsar 150cc,29200,30000,8,Bajaj,0
5109,Honda CB Hornet,91000,5500,2,Honda,0
5110,Royal Enfield Thunderbird,115000,24000,4,Royal Enfield,0
